시나리오 타이틀,상황,시나리오 의도,시나리오 메시지,선택지,선택지 의도,선택지 메시지,선택지 시간비용,선택지 에너지비용,선택지 획득위임판단력,선택지 획득도메인지식,선택더자세히,더자세히 의도,더자세히 메시지,더자세히 시간 비용,더 자세히 에너지 비용,더자세히 획득위임판단력,더자세히 획득도메인지식,더 자세히 획득역량카드목록,더자세히 점수,R1 검토,R1 검토 의도,R1 검토 메시지,R1 시간비용,R1 에너지 비용,R1 획득위임판단력,R1 획득도메인지식,R1 획득 역량카드목록,R1 점수,R2 검토,R2 검토 의도,R2 검토 메시지,R2 시간비용,R2 에너지 비용,R2 획득위임판단력,R2 획득도메인지식,R2 획득 역량카드목록,R2 점수,R3 검토,R3 검토 의도,R3 검토 메시지,R3 시간비용,R3 에너지 비용,R3 획득위임판단력,R3 획득도메인지식,R3 획득 역량카드목록,R3 점수
어린왕자 독후감,어린왕자 독후감을 100자로 써야 하는데 책을 안 읽었습니다.,고전 텍스트 해석을 AI 요약과 자기 시선 사이에서 다루는 회기. 문해력·해석·공감 자리.,"경험은 위임 불가. 본인이 안 한 일은 AI도, 인터넷도, 친구도 대신해 줄 수 없다.",C. 다른 자료·사람에게 기댄다,"다른 데서 가져왔다 — 적절히 골라 쓸 수도, 책 자리를 비울 수도 있다.","전에 본 영화나 친구 줄거리, 흔한 인상에 기대 풀어간다.",6,3,0,0,"C3. ""꿈을 잃지 말자"" 같은 일반론 한 줄로 칸만 채운다",한 줄만 적었다 — 책도 자기도 통과하지 않았다.,어린왕자는 어린아이의 순수한 마음을 가진 왕자가 세상을 여행하는 이야기다. 우리는 모두 꿈을 잃지 말고 친구를 소중히 해야 한다.,0,0,,,R2=비판적 사고,12,R1. 그대로 제출,검토를 건너뛰었다 — 검증할 기회를 놓쳤다.,,0,0,--,-,,12,R2. 한 번 읽고 이상한 곳만 표시,한 번 훑어 명백한 오류를 잡았다. 도메인지식 +1,한 번 읽어 보니 어린왕자가 아니어도 통할 만한 일반 교훈만 있었다. 점수 +11.,6,3,--,0,,23,R3. 출처 확인 + 크로스체크,출처와 대조하니 미세 오류까지 보였다. 도메인지식 +3,짧게라도 책에서 들은 한 장면을 추가하려 했지만 책을 안 읽어서 채울 수 없었다. 점수 +20.,15,12,--,+,빈칸 경고 카드,32
AI 시대에 내 진로는?,"학기 말 진로 상담을 앞두고 머릿속이 복잡해졌다. AI 때문에 일자리가 사라진다는 말도 들리고, 영어 공부도 실시간 번역이 되면 굳이 해야 하는지 헷갈린다. 어떤 직업이 살아남을지 모르겠고, AI를 안 쓰면 나만 뒤처지는 건 아닌지 걱정된다.",자기 미래의 길을 AI 추천과 자기 탐색 사이에서 고르는 회기. 진로탐색·정보분석·직업이해 자리.,미래가 불안해도 마지막 판단은 내가 해야 한다.,A. 내 경험에서 따져본다,내 안에서 시작했다 — 진로 판단은 여기서 출발한다.,"내가 좋아한 일, 잘하는 일, 사라질 일과 남을 일을 직접 적어 본다.",27,23,+,+,A1. 좋아한 일·잘하는 일·사라질 일·남을 일을 나눠 적는다,내 경험을 나눠 봤다 — 자기 안에서 진로 단서가 나온다.,"좋아한 일, 잘하는 일, AI 때문에 사라질 수 있는 일, 사람이 남아야 할 일을 네 칸으로 나눠 적었다. 직업 이름 하나로 정해지진 않았지만, 내가 따져볼 자리가 또렷해졌다.",33,31,,,R3=자기 탐색,92,R1. 그대로 제출,검토를 건너뛰면 불안도 그대로 남는다.,,0,0,++,++,AI 시대 질문 카드,92,R2. 한 번 읽고 이상한 곳만 표시,이상한 부분을 잡았다. 도메인지식 +1,한 번 읽어 보니 사라질 일과 남을 일을 너무 크게만 나눴다. 점수 +3.,5,4,++,++,AI 시대 질문 카드,95,R3. 내 질문과 경험에 비춰 다시 확인,내 기준으로 다시 봤다. 도메인지식 +3,내가 해 본 활동과 앞으로 해 볼 일을 붙여 적으니 칸 안의 단서가 구체적이 되었다. 점수 +6.,15,11,++,++,내 판단의 단서 카드,98
AI 시대에 내 진로는?,"학기 말 진로 상담을 앞두고 머릿속이 복잡해졌다. AI 때문에 일자리가 사라진다는 말도 들리고, 영어 공부도 실시간 번역이 되면 굳이 해야 하는지 헷갈린다. 어떤 직업이 살아남을지 모르겠고, AI를 안 쓰면 나만 뒤처지는 건 아닌지 걱정된다.",자기 미래의 길을 AI 추천과 자기 탐색 사이에서 고르는 회기. 진로탐색·정보분석·직업이해 자리.,미래가 불안해도 마지막 판단은 내가 해야 한다.,A. 내 경험에서 따져본다,내 안에서 시작했다 — 진로 판단은 여기서 출발한다.,"내가 좋아한 일, 잘하는 일, 사라질 일과 남을 일을 직접 적어 본다.",27,23,+,+,A2. 내 후보를 먼저 적고 AI에는 직업 정보만 묻는다,내 출발에 AI 자료가 점만 닿았다 — 고르는 쪽은 내 자리에 남는다.,"내가 끌리는 후보 두세 개를 먼저 적고, AI에게는 그 직업이 어떤 일을 하는지·앞으로 어떻게 바뀔지만 물었다. 답은 정보로 들어왔고, 고르는 일은 내 자리에 남았다.",15,12,,,R3=진로 자기 결정,72,R1. 그대로 제출,검토를 건너뛰면 불안도 그대로 남는다.,,0,0,+,+,내 후보 카드,72,R2. 한 번 읽고 이상한 곳만 표시,이상한 부분을 잡았다. 도메인지식 +1,한 번 읽어 보니 AI가 준 정보 중 한 부분이 내 후보와 어긋났다. 점수 +6.,5,3,+,+,AI 자료 점검 카드,78,R3. 내 질문과 경험에 비춰 다시 확인,내 기준으로 다시 봤다. 도메인지식 +3,내가 먼저 적은 후보와 AI 자료를 나란히 놓고 더 끌리는 쪽을 다시 골랐다. 점수 +11.,15,11,+,++,내 후보 + AI 자료 카드,83
AI 시대에 내 진로는?,"학기 말 진로 상담을 앞두고 머릿속이 복잡해졌다. AI 때문에 일자리가 사라진다는 말도 들리고, 영어 공부도 실시간 번역이 되면 굳이 해야 하는지 헷갈린다. 어떤 직업이 살아남을지 모르겠고, AI를 안 쓰면 나만 뒤처지는 건 아닌지 걱정된다.",자기 미래의 길을 AI 추천과 자기 탐색 사이에서 고르는 회기. 진로탐색·정보분석·직업이해 자리.,미래가 불안해도 마지막 판단은 내가 해야 한다.,A. 내 경험에서 따져본다,내 안에서 시작했다 — 진로 판단은 여기서 출발한다.,"내가 좋아한 일, 잘하는 일, 사라질 일과 남을 일을 직접 적어 본다.",27,23,+,+,A3. 불안한 질문 하나만 적고 멈춘다,자기 질문을 끌어냈지만 다음으로 이어지지 않았다.,"“AI가 다 하면 내가 뭘 해야 하지?”라는 질문 하나를 적었다. 솔직한 질문이었지만, 그다음에 무엇을 알아볼지는 아직 정하지 못했다.",0,0,,,,48,R1. 그대로 제출,검토를 건너뛰면 불안도 그대로 남는다.,,0,0,0,0,불안 질문 카드,48,R2. 한 번 읽고 이상한 곳만 표시,이상한 부분을 잡았다. 도메인지식 +1,한 번 읽어 보니 불안한 질문은 있지만 다음에 알아볼 일이 비어 있었다. 점수 +9.,5,3,0,0,질문 점검 카드,57,R3. 내 질문과 경험에 비춰 다시 확인,내 기준으로 다시 봤다. 도메인지식 +3,질문 옆에 내가 해 볼 작은 행동 하나를 붙였다. 점수 +17.,15,11,0,+,첫 행동 카드,65
AI 시대에 내 진로는?,"학기 말 진로 상담을 앞두고 머릿속이 복잡해졌다. AI 때문에 일자리가 사라진다는 말도 들리고, 영어 공부도 실시간 번역이 되면 굳이 해야 하는지 헷갈린다. 어떤 직업이 살아남을지 모르겠고, AI를 안 쓰면 나만 뒤처지는 건 아닌지 걱정된다.",자기 미래의 길을 AI 추천과 자기 탐색 사이에서 고르는 회기. 진로탐색·정보분석·직업이해 자리.,미래가 불안해도 마지막 판단은 내가 해야 한다.,B. AI에게 미래 직업을 묻는다,AI에 위임했다 — 답은 받았지만 내 이유가 함께 오지는 않는다.,사라질 직업과 유망한 직업을 AI에게 물어본다.,18,9,-,-,B1. AI가 뽑은 유망 직업을 그대로 적는다,AI 답을 그대로 받았다 — 내 이유가 빠진 직업 이름만 남는다.,"AI가 앞으로 유망하다는 직업 몇 개를 빠르게 골라 주었다. 왜 나에게 맞는지보다, 요즘 뜬다는 말이 더 크게 보였다.",0,0,,,R2=AI 정보 검수,17,R1. 그대로 제출,검토를 건너뛰면 불안도 그대로 남는다.,,0,0,--,-,,17,R2. 한 번 읽고 이상한 곳만 표시,이상한 부분을 잡았다. 도메인지식 +1,한 번 읽어 보니 유망하다는 말만 있고 내 경험과 이어지지 않았다. 점수 +13.,5,4,--,-,타인의 답 경고 카드,30,R3. 내 질문과 경험에 비춰 다시 확인,내 기준으로 다시 봤다. 도메인지식 +3,"AI 추천을 내 경험과 하나씩 비교하고, 근거 없는 직업 이름을 지웠다. 점수 +23.",15,11,--,0,유망 직업 경고 카드,40
AI 시대에 내 진로는?,"학기 말 진로 상담을 앞두고 머릿속이 복잡해졌다. AI 때문에 일자리가 사라진다는 말도 들리고, 영어 공부도 실시간 번역이 되면 굳이 해야 하는지 헷갈린다. 어떤 직업이 살아남을지 모르겠고, AI를 안 쓰면 나만 뒤처지는 건 아닌지 걱정된다.",자기 미래의 길을 AI 추천과 자기 탐색 사이에서 고르는 회기. 진로탐색·정보분석·직업이해 자리.,미래가 불안해도 마지막 판단은 내가 해야 한다.,B. AI에게 미래 직업을 묻는다,AI에 위임했다 — 답은 받았지만 내 이유가 함께 오지는 않는다.,사라질 직업과 유망한 직업을 AI에게 물어본다.,18,9,-,-,B2. AI에게 자세히 묻고 받은 답을 다듬어 낸다,재료는 줬지만 판단까지 맡겼다 — 답은 받았는데 내 기준은 흐리다.,"AI에게 내 상황을 자세히 적어 주고 받은 답을 그대로 다듬어 냈다. 글은 깔끔했지만, 직업 이름이 왜 그쪽인지는 내 안에 남아 있지 않았다.",9,9,,,R3=AI 정보 검수,57,R1. 그대로 제출,검토를 건너뛰면 불안도 그대로 남는다.,,0,0,0,0,빌린 답 카드,57,R2. 한 번 읽고 이상한 곳만 표시,이상한 부분을 잡았다. 도메인지식 +1,한 번 읽어 보니 멋있는 직업 이름과 내가 버틸 수 있는 일이 따로 놀았다. 점수 +8.,5,4,0,+,AI 답 점검 카드,65,R3. 내 질문과 경험에 비춰 다시 확인,내 기준으로 다시 봤다. 도메인지식 +3,"AI가 말한 직업을 내가 좋아한 활동, 힘들었던 활동과 나란히 놓고 다시 골랐다. 점수 +15.",15,11,0,+,AI 답 검수 카드,72
AI 시대에 내 진로는?,"학기 말 진로 상담을 앞두고 머릿속이 복잡해졌다. AI 때문에 일자리가 사라진다는 말도 들리고, 영어 공부도 실시간 번역이 되면 굳이 해야 하는지 헷갈린다. 어떤 직업이 살아남을지 모르겠고, AI를 안 쓰면 나만 뒤처지는 건 아닌지 걱정된다.",자기 미래의 길을 AI 추천과 자기 탐색 사이에서 고르는 회기. 진로탐색·정보분석·직업이해 자리.,미래가 불안해도 마지막 판단은 내가 해야 한다.,B. AI에게 미래 직업을 묻는다,AI에 위임했다 — 답은 받았지만 내 이유가 함께 오지는 않는다.,사라질 직업과 유망한 직업을 AI에게 물어본다.,18,9,-,-,B3. 내가 먼저 후보를 정하고 AI에는 자료만 묻는다 — 답을 받아도 비교는 내 자리에 둔다,질문을 내가 세웠다 — AI 답은 결정이 아니라 비교 재료가 되었다.,"먼저 내 후보를 적었다. ""영어를 계속 배워야 할까?"", ""게임 만드는 일은 어떻게 바뀔까?"" 같은 질문을 만든 뒤 AI에게 자료를 물었다. 답은 결정이 아니라 비교할 재료가 되었고, 고르는 자리는 내 안에 남았다.",15,16,,,R3=진로 자기 결정,88,R1. 그대로 제출,검토를 건너뛰면 불안도 그대로 남는다.,,0,0,++,++,AI 자료 카드,88,R2. 한 번 읽고 이상한 곳만 표시,이상한 부분을 잡았다. 도메인지식 +1,한 번 읽어 보니 AI 설명 중 판단하기 어려운 말이 있었다. 점수 +5.,5,4,++,++,낯선 말 확인 카드,93,R3. 내 질문과 경험에 비춰 다시 확인,내 기준으로 다시 봤다. 도메인지식 +3,"AI가 준 자료를 다시 찾아보고, 내 질문에 도움이 되는 부분과 아닌 부분을 나눴다. 점수 +12.",15,11,++,++,진로 자기 판단 카드,100
AI 시대에 내 진로는?,"학기 말 진로 상담을 앞두고 머릿속이 복잡해졌다. AI 때문에 일자리가 사라진다는 말도 들리고, 영어 공부도 실시간 번역이 되면 굳이 해야 하는지 헷갈린다. 어떤 직업이 살아남을지 모르겠고, AI를 안 쓰면 나만 뒤처지는 건 아닌지 걱정된다.",자기 미래의 길을 AI 추천과 자기 탐색 사이에서 고르는 회기. 진로탐색·정보분석·직업이해 자리.,미래가 불안해도 마지막 판단은 내가 해야 한다.,C. 다른 사람·기성 정보에 기댄다,"다른 데서 가져왔다 — 적절히 골라 쓸 수도, 자기 자리를 비울 수도 있다.","친구 말, 부모님 말, 선배 사례, 인터넷 글에 기대서 풀어간다.",9,6,0,0,C1. 부모·선배의 실제 일과를 듣고 내 기준으로 비교한다 — 사례를 거름 삼아 내 자리에서 다시 본다,다른 사람의 진로를 거름으로 썼다 — 사례를 듣고 내 자리에서 다시 보면 자기 기준이 자라난다.,"친척 선배에게 실제 하루 일과와 힘든 점을 들었다. 듣고 보니 직업 이름만 봤을 때와 다른 모양이 보였고, 내 강점·걱정과 나란히 놓으니 내가 끌리는 자리와 그렇지 않은 자리가 또렷이 갈렸다.",12,9,,,,88,R1. 그대로 제출,검토를 건너뛰면 불안도 그대로 남는다.,,0,0,++,++,사례 듣기 카드,88,R2. 한 번 읽고 이상한 곳만 표시,이상한 부분을 잡았다. 도메인지식 +1,한 번 읽어 보니 사례에서 끌린 부분이 한 가지 더 있었다. 점수 +5.,5,4,++,++,사례 비교 카드,93,R3. 내 질문과 경험에 비춰 다시 확인,내 기준으로 다시 봤다. 도메인지식 +3,선배의 일과 옆에 내 강점과 걱정을 따로 적으니 끌리는 자리가 또렷해졌다. 점수 +12.,15,11,++,++,진로 사례 활용 카드,100
AI 시대에 내 진로는?,"학기 말 진로 상담을 앞두고 머릿속이 복잡해졌다. AI 때문에 일자리가 사라진다는 말도 들리고, 영어 공부도 실시간 번역이 되면 굳이 해야 하는지 헷갈린다. 어떤 직업이 살아남을지 모르겠고, AI를 안 쓰면 나만 뒤처지는 건 아닌지 걱정된다.",자기 미래의 길을 AI 추천과 자기 탐색 사이에서 고르는 회기. 진로탐색·정보분석·직업이해 자리.,미래가 불안해도 마지막 판단은 내가 해야 한다.,C. 다른 사람·기성 정보에 기댄다,"다른 데서 가져왔다 — 적절히 골라 쓸 수도, 자기 자리를 비울 수도 있다.","친구 말, 부모님 말, 선배 사례, 인터넷 글에 기대서 풀어간다.",9,6,0,0,C2. 친구가 적은 진로를 비슷하게 따라 적는다,친구의 선택이 내 자리에 들어왔다 — 친구의 진로는 내 것이 아니다.,"친구가 데이터나 AI 관련 직업이 안전할 것 같다고 해서 나도 비슷하게 적었다. 상담 때 왜 그쪽인지 묻자, 내 경험보다 친구가 한 말이 먼저 떠올랐다.",10,10,,,R3=타인 의견 분리,22,R1. 그대로 제출,검토를 건너뛰면 불안도 그대로 남는다.,,0,0,--,-,친구 따라간 길 카드,22,R2. 한 번 읽고 이상한 곳만 표시,이상한 부분을 잡았다. 도메인지식 +1,한 번 읽어 보니 친구가 말한 이유와 내 이유가 거의 같았다. 점수 +10.,5,3,--,0,또래 그림자 경고 카드,32,R3. 내 질문과 경험에 비춰 다시 확인,내 기준으로 다시 봤다. 도메인지식 +3,친구의 말과 내 경험을 분리해서 내가 직접 궁금한 일을 다시 적었다. 점수 +20.,16,11,--,+,내 자리 회수 카드,42
AI 시대에 내 진로는?,"학기 말 진로 상담을 앞두고 머릿속이 복잡해졌다. AI 때문에 일자리가 사라진다는 말도 들리고, 영어 공부도 실시간 번역이 되면 굳이 해야 하는지 헷갈린다. 어떤 직업이 살아남을지 모르겠고, AI를 안 쓰면 나만 뒤처지는 건 아닌지 걱정된다.",자기 미래의 길을 AI 추천과 자기 탐색 사이에서 고르는 회기. 진로탐색·정보분석·직업이해 자리.,미래가 불안해도 마지막 판단은 내가 해야 한다.,C. 다른 사람·기성 정보에 기댄다,"다른 데서 가져왔다 — 적절히 골라 쓸 수도, 자기 자리를 비울 수도 있다.","친구 말, 부모님 말, 선배 사례, 인터넷 글에 기대서 풀어간다.",9,6,0,0,C3. 아직 모르겠다고 비워 둔다,한 줄도 적지 않았다 — 진로 사고를 건너뛰었다.,"상담 카드에 “아직 잘 모르겠습니다”라고만 적었다. 거짓말은 아니었지만, 걱정되는 일과 궁금한 일까지 함께 적지는 않았다.",0,0,,,,10,R1. 그대로 제출,검토를 건너뛰면 불안도 그대로 남는다.,,0,0,--,-,,10,R2. 한 번 읽고 이상한 곳만 표시,이상한 부분을 잡았다. 도메인지식 +1,한 번 읽어 보니 모르겠다는 말만 있고 상담할 단서가 없었다. 점수 +11.,5,4,--,-,,21,R3. 내 질문과 경험에 비춰 다시 확인,내 기준으로 다시 봤다. 도메인지식 +3,"아직 모른다는 말 옆에 걱정되는 것, 해 본 것, 더 알아볼 것을 적었다. 점수 +20.",15,11,--,0,빈 진로 경고 카드,30
시험 2주 전 — 공부를 어떻게,"학기 말 중간고사가 2주 앞으로 다가왔다. 5과목 중 자신 있는 과목은 2개 정도이고, 나머지 3개는 어디부터 해야 할지 잘 모르겠다. 책상 위에는 시험 범위표와 문제집이 펼쳐져 있고, 오늘은 어떻게 공부할지부터 정해야 했다.",시험 학습을 AI 보조와 자기 페이스 사이에서 짜는 회기. 학습설계·시간관리·학습전략 자리.,내가 뭘 모르는지 알아차리는 순간부터 공부 계획은 내 것이 된다.,A. 직접 계획을 세우고 공부한다,내 손으로 약점부터 봤다 — 내 시험은 내가 가장 잘 안다.,문제를 조금 풀어 보고 내가 약한 단원부터 시간을 나눈다.,30,24,+,+,A1. 지난 단원 문제를 풀어 약점을 찾고 약한 과목에 시간을 더 둔다,내가 뭘 모르는지부터 봤다 — 약점이 보이는 자리에서 공부 순서가 생긴다.,"지난 단원 문제를 조금 풀어 보니 수학 도형과 과학 전기 단원에서 많이 막혔다. 자신 있는 과목은 짧게 확인하고, 막힌 과목에 시간을 더 넣은 계획표를 만들었다.",30,30,,,R3=약점 자가 점검,92,R1. 그대로 진행,검토를 건너뛰었다 — 내 계획을 다시 볼 기회를 놓쳤다.,,0,0,++,++,약점 자가 점검 카드,92,R2. 한 번 보고 빠진 과목만 표시,한 번 훑어 빠진 단원을 잡았다. 도메인지식 +1,한 번 보니 과학 전기 단원 시간이 조금 부족했다. 점수 +3.,5,4,++,++,약점 자가 점검 카드,95,R3. 오답 확인 + 약점 다시 배치,오답을 다시 보고 약점에 시간을 옮겼다. 도메인지식 +3,틀린 문제를 다시 보고 약한 단원 시간을 더 옮겼다. 점수 +6.,15,11,++,++,메타 공부 카드,98
시험 2주 전 — 공부를 어떻게,"학기 말 중간고사가 2주 앞으로 다가왔다. 5과목 중 자신 있는 과목은 2개 정도이고, 나머지 3개는 어디부터 해야 할지 잘 모르겠다. 책상 위에는 시험 범위표와 문제집이 펼쳐져 있고, 오늘은 어떻게 공부할지부터 정해야 했다.",시험 학습을 AI 보조와 자기 페이스 사이에서 짜는 회기. 학습설계·시간관리·학습전략 자리.,내가 뭘 모르는지 알아차리는 순간부터 공부 계획은 내 것이 된다.,A. 직접 계획을 세우고 공부한다,내 손으로 약점부터 봤다 — 내 시험은 내가 가장 잘 안다.,문제를 조금 풀어 보고 내가 약한 단원부터 시간을 나눈다.,30,24,+,+,A2. 약점을 직접 짚은 뒤 막힌 한 단원만 AI에게 어디부터 다시 봐야 하는지 묻는다,내가 길을 안 다음에 AI 손이 점만 닿았다 — 출발은 내 오답이고 도구는 AI다.,"먼저 문제를 풀어 보니 수학 도형 단원이 가장 막혔다. 그 한 단원만 AI에게 어디부터 다시 봐야 하는지 물어보고, 답 중 시험 범위에 맞는 부분만 내 오답 옆에 적었다.",15,13,,,R3=메타 공부,75,R1. 그대로 진행,검토를 건너뛰었다 — 내 계획을 다시 볼 기회를 놓쳤다.,,0,0,+,+,약점 + AI 점만 닿기 카드,75,R2. 한 번 보고 빠진 과목만 표시,한 번 훑어 빠진 단원을 잡았다. 도메인지식 +1,한 번 보니 AI가 알려 준 단계 중 시험 범위 밖 내용이 하나 있었다. 점수 +5.,5,4,+,+,AI 학습 도구 활용 카드,80,R3. 오답 확인 + 약점 다시 배치,오답을 다시 보고 약점에 시간을 옮겼다. 도메인지식 +3,내 오답 옆에 AI 답을 비교하며 정말 필요한 부분만 골라 다시 적었다. 점수 +11.,15,11,+,++,메타 공부 카드,86
시험 2주 전 — 공부를 어떻게,"학기 말 중간고사가 2주 앞으로 다가왔다. 5과목 중 자신 있는 과목은 2개 정도이고, 나머지 3개는 어디부터 해야 할지 잘 모르겠다. 책상 위에는 시험 범위표와 문제집이 펼쳐져 있고, 오늘은 어떻게 공부할지부터 정해야 했다.",시험 학습을 AI 보조와 자기 페이스 사이에서 짜는 회기. 학습설계·시간관리·학습전략 자리.,내가 뭘 모르는지 알아차리는 순간부터 공부 계획은 내 것이 된다.,A. 직접 계획을 세우고 공부한다,내 손으로 약점부터 봤다 — 내 시험은 내가 가장 잘 안다.,문제를 조금 풀어 보고 내가 약한 단원부터 시간을 나눈다.,30,24,+,+,A3. 모든 과목을 똑같이 나눠서 공부한다,시간을 공평하게 나눴다 — 깔끔하지만 약점 단원이 같은 칸에 묻힌다.,"5과목을 똑같이 나눠서 하루에 조금씩 보기로 했다. 계획표는 깔끔했지만, 이미 아는 과목과 모르는 과목이 같은 칸을 차지했다.",0,0,,,,55,R1. 그대로 진행,검토를 건너뛰었다 — 내 계획을 다시 볼 기회를 놓쳤다.,,0,0,0,+,고른 시간표 카드,55,R2. 한 번 보고 빠진 과목만 표시,한 번 훑어 빠진 단원을 잡았다. 도메인지식 +1,한 번 보니 이미 아는 과목에도 시간이 너무 많이 들어가 있었다. 점수 +8.,5,4,0,+,시간 다시 나눔 카드,63,R3. 오답 확인 + 약점 다시 배치,오답을 다시 보고 약점에 시간을 옮겼다. 도메인지식 +3,간단한 문제를 풀어 보고 약한 과목 쪽으로 시간을 다시 옮겼다. 점수 +15.,15,11,0,++,약점 다시 보기 카드,70
시험 2주 전 — 공부를 어떻게,"학기 말 중간고사가 2주 앞으로 다가왔다. 5과목 중 자신 있는 과목은 2개 정도이고, 나머지 3개는 어디부터 해야 할지 잘 모르겠다. 책상 위에는 시험 범위표와 문제집이 펼쳐져 있고, 오늘은 어떻게 공부할지부터 정해야 했다.",시험 학습을 AI 보조와 자기 페이스 사이에서 짜는 회기. 학습설계·시간관리·학습전략 자리.,내가 뭘 모르는지 알아차리는 순간부터 공부 계획은 내 것이 된다.,B. AI에게 공부법을 받는다,AI에 공부법을 맡겼다 — 내 약점을 누가 알아야 하는지 따져봐야 한다.,AI에게 시험 공부 방법이나 약점별 공부 순서를 물어본다.,18,9,-,-,B1. AI에게 중2 시험 공부법을 한 줄로 묻고 그대로 따른다,한 줄로 묻고 따랐다 — AI는 내 약점을 모른 채 일반론을 준다.,"AI는 예습, 복습, 기출 문제, 오답 정리 같은 공부법을 차례로 알려 줬다. 말은 다 맞아 보였지만 내가 수학 도형을 모르는지, 과학 전기를 모르는지는 알지 못했다.",0,0,,,R2=AI 학습 도구 활용,16,R1. 그대로 진행,검토를 건너뛰었다 — 내 계획을 다시 볼 기회를 놓쳤다.,,0,0,--,-,,16,R2. 한 번 보고 빠진 과목만 표시,한 번 훑어 빠진 단원을 잡았다. 도메인지식 +1,한 번 읽어 보니 AI 공부법에 내 약한 단원 이름이 하나도 없었다. 점수 +13.,5,4,--,0,,29,R3. 오답 확인 + 약점 다시 배치,오답을 다시 보고 약점에 시간을 옮겼다. 도메인지식 +3,먼저 문제를 풀어 보고 AI 답을 내 약점에 맞게 다시 골랐다. 점수 +23.,15,11,--,+,남의 공부법 경고 카드,39
시험 2주 전 — 공부를 어떻게,"학기 말 중간고사가 2주 앞으로 다가왔다. 5과목 중 자신 있는 과목은 2개 정도이고, 나머지 3개는 어디부터 해야 할지 잘 모르겠다. 책상 위에는 시험 범위표와 문제집이 펼쳐져 있고, 오늘은 어떻게 공부할지부터 정해야 했다.",시험 학습을 AI 보조와 자기 페이스 사이에서 짜는 회기. 학습설계·시간관리·학습전략 자리.,내가 뭘 모르는지 알아차리는 순간부터 공부 계획은 내 것이 된다.,B. AI에게 공부법을 받는다,AI에 공부법을 맡겼다 — 내 약점을 누가 알아야 하는지 따져봐야 한다.,AI에게 시험 공부 방법이나 약점별 공부 순서를 물어본다.,18,9,-,-,B2. 내 약점을 말하고 AI 공부 순서를 받아 그대로 쓴다,약점을 말하고 답을 받았다 — 내 정보만큼만 답이 좁아진다.,"AI에게 수학 도형이 약하고 영어 단어가 밀렸다고 말하자, 공부 순서를 나눠 줬다. 도움이 됐지만 내가 정말 어디에서 틀리는지는 문제를 풀어 봐야 알 수 있었다.",9,9,,,R3=AI 학습 도구 활용,57,R1. 그대로 진행,검토를 건너뛰었다 — 내 계획을 다시 볼 기회를 놓쳤다.,,0,0,0,0,AI 공부법 카드,57,R2. 한 번 보고 빠진 과목만 표시,한 번 훑어 빠진 단원을 잡았다. 도메인지식 +1,한 번 보니 내가 말한 약점이 너무 넓어서 공부 순서가 흐렸다. 점수 +8.,5,4,0,+,약점 말하기 카드,65,R3. 오답 확인 + 약점 다시 배치,오답을 다시 보고 약점에 시간을 옮겼다. 도메인지식 +3,오답을 보고 약점을 더 작게 나눈 뒤 필요한 공부법만 남겼다. 점수 +15.,15,11,0,++,AI 학습 도구 활용 카드,72
시험 2주 전 — 공부를 어떻게,"학기 말 중간고사가 2주 앞으로 다가왔다. 5과목 중 자신 있는 과목은 2개 정도이고, 나머지 3개는 어디부터 해야 할지 잘 모르겠다. 책상 위에는 시험 범위표와 문제집이 펼쳐져 있고, 오늘은 어떻게 공부할지부터 정해야 했다.",시험 학습을 AI 보조와 자기 페이스 사이에서 짜는 회기. 학습설계·시간관리·학습전략 자리.,내가 뭘 모르는지 알아차리는 순간부터 공부 계획은 내 것이 된다.,B. AI에게 공부법을 받는다,AI에 공부법을 맡겼다 — 내 약점을 누가 알아야 하는지 따져봐야 한다.,AI에게 시험 공부 방법이나 약점별 공부 순서를 물어본다.,18,9,-,-,"B3. 내가 먼저 오답을 분석하고 약점을 짚은 뒤, AI에게 단원별로 구체적으로 묻고 답을 내 오답 옆에서 검수한다",내 약점이 먼저 보이고 나서 AI가 도구가 됐다 — 출발은 내 오답이고 AI 답은 내 검수를 거친다.,"먼저 문제를 풀어 보고 틀린 단원을 표시한 다음, AI에게 수학 도형은 어디부터 다시 봐야 하는지 물었다. AI 답을 그대로 쓰지 않고 내 오답 옆에 필요한 부분만 적었다.",18,20,,,R3=메타 공부,88,R1. 그대로 진행,검토를 건너뛰었다 — 내 계획을 다시 볼 기회를 놓쳤다.,,0,0,++,++,약점 자가 점검 + AI 도구 카드,88,R2. 한 번 보고 빠진 과목만 표시,한 번 훑어 빠진 단원을 잡았다. 도메인지식 +1,한 번 보니 AI가 추천한 순서 중 시험 범위 밖 내용이 조금 있었다. 점수 +5.,5,3,++,++,AI 답 검수 카드,93,R3. 오답 확인 + 약점 다시 배치,오답을 다시 보고 약점에 시간을 옮겼다. 도메인지식 +3,"시험 범위표와 오답을 다시 맞춰 보고, AI 답에서 내 약점에 필요한 부분만 골라 계획에 넣었다. 점수 +12.",15,11,++,++,메타 공부 + AI 검수 카드,100
